id,name,province,aqhi,observed,observation_datetime_text_en,observation_datetime_text_fr,lon,lat,color
AQ_OBS-HAIMP-20260201000000,Regina,,2.33,2026-02-01T00:00:00Z,6:00 PM CST Saturday 31 January 2026,6h00 PM HNC samedi 31 janvier 2026,-104.606666666667,50.4547222222222,#016797
AQ_OBS-FEAKO-20260201000000,Mississauga,,2.67,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.6572222222222,43.5855555555556,#016797
AQ_OBS-FBLKS-20260201000000,Hamilton Mountain,,2.36,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.82235,43.23039,#016797
AQ_OBS-IANHQ-20260201000000,Wood Buffalo - south,,1.87,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-111.0788889,55.6311111,#0099cb
AQ_OBS-FDMOP-20260201000000,Oshawa,,2.19,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-78.8572222222222,43.9005555555556,#016797
AQ_OBS-FDJFN-20260201000000,St. Catharines,,2.48,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-79.2533,43.16544,#016797
AQ_OBS-FEVNT-20260201000000,Ottawa,,2.27,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-75.6769444444444,45.4344444444445,#016797
AQ_OBS-IACGW-20260201000000,Lamont County,,2.19,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-112.7844444,53.7591666,#016797
AQ_OBS-ABEFS-20260201000000,St. John's,,2.19,2026-02-01T00:00:00Z,8:30 PM NST Saturday 31 January 2026,8h30 PM HNT samedi 31 janvier 2026,-52.7252777777778,47.5658333333333,#016797
AQ_OBS-JBLVS-20260201000000,Prince George,,1.6,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-122.75,53.9166666666667,#0099cb
AQ_OBS-IAJWU-20260201000000,Hinton,,2.6,2026-02-01T00:00:00Z,5:00 PM MST Saturday 31 January 2026,5h00 PM HNR samedi 31 janvier 2026,-117.5627778,53.4111111,#016797
AQ_OBS-CBDPK-20260201000000,Pictou,,2.5,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-62.7091666666667,45.6758333333333,#016797
AQ_OBS-FCNJT-20260201000000,Windsor West,,2.36,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-83.0594444,42.2830556,#016797
AQ_OBS-JCMDB-20260201000000,Kitimat,,1.04,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-128.652222,54.053333,#0099cb
AQ_OBS-JBRIK-20260201000000,Metro Vancouver - NW,,1.9,2026-02-01T00:00:00Z,4:00 PM PST Saturday 31 January 2026,4h00 PM HNP samedi 31 janvier 2026,-123.113889,49.261111,#0099cb
AQ_OBS-HAHJJ-20260201000000,Saskatoon,,2.41,2026-02-01T00:00:00Z,6:00 PM CST Saturday 31 January 2026,6h00 PM HNC samedi 31 janvier 2026,-106.686111111111,52.1397222222222,#016797
AQ_OBS-CATHI-20260201000000,Lake Major,,1.98,2026-02-01T00:00:00Z,8:00 PM AST Saturday 31 January 2026,8h00 PM HNA samedi 31 janvier 2026,-63.467261,44.71338,#0099cb
AQ_OBS-FBKKK-20260201000000,Guelph,,2.39,2026-02-01T00:00:00Z,7:00 PM EST Saturday 31 January 2026,7h00 PM HNE samedi 31 janvier 2026,-80.22899,43.53571,#016797
