id,name,province,forecast_datetime,publication_datetime,forecast_datetime_text_en,forecast_datetime_text_fr,publication_datetime_text_en,publication_datetime_text_fr,p1_label,p1_aqhi,p2_label,p2_aqhi,p3_label,p3_aqhi,p4_label,p4_aqhi,p5_label,p5_aqhi,lon,lat,p1_color
AQ_FCST-JAFNW-202512210100-202512210100,Kamloops,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-120.327222222222,50.6733333333333,#9e9e9e
AQ_FCST-JAGPB-202512210100-202512210100,Fort St. John,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-120.846667,56.2525,#9e9e9e
AQ_FCST-JCVCJ-202512210100-202512210100,Squamish,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-123.133333,49.75,#9e9e9e
AQ_FCST-JAFUV-202512210100-202512210100,Central Okanagan,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-119.483333333333,49.8833333333333,#9e9e9e
AQ_FCST-IAHMM-202512210100-202512210000,Grande Prairie,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-118.796111111111,55.1708333333333,#9e9e9e
AQ_FCST-IANHQ-202512210100-202512210000,Wood Buffalo - south,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-111.0788889,55.6311111,#9e9e9e
AQ_FCST-KAHFT-202512210100-202512210037,Whitehorse,,2025-12-21T01:00:00Z,2025-12-21T00:37:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-135.0808333,60.6961111,#9e9e9e
AQ_FCST-JCJHI-202512210100-202512210100,Whistler,,2025-12-21T01:00:00Z,2025-12-21T01:00:00Z,5:00 PM PST Saturday 20 December 2025,5h00 PM HNP samedi 20 décembre 2025,,,,,,,,,,,,,-122.966666666667,50.1166666666667,#9e9e9e
AQ_FCST-IAFEW-202512210100-202512210000,Fort Chipewyan,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-111.158333333333,58.7144444444444,#9e9e9e
AQ_FCST-IADGP-202512210100-202512210000,Lethbridge,,2025-12-21T01:00:00Z,2025-12-21T00:00:00Z,6:00 PM MST Saturday 20 December 2025,6h00 PM HNR samedi 20 décembre 2025,,,,,,,,,,,,,-112.841944444444,49.6936111111111,#9e9e9e
